eventId,subEventName,tags,playerId,matchId,eventName,teamId,matchPeriod,eventSec,subEventId,id,x1,y1,x2,y2
3,Free Kick,['Not accurate'],Kl\u00e9per Laveran Lima Ferreira,"Portugal - Morocco, 1 - 0",Free Kick,Portugal,1H,2882.926705,Free Kick,259478079,36,91,0.0,0.0
8,Simple pass,['Accurate'],Cristiano Ronaldo dos Santos Aveiro,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,4.098073000000113,Simple pass,259478152,49,50,44.0,51.0
8,Simple pass,['Accurate'],Jo\u00e3o Filipe Iria Santos Moutinho,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,5.169532999999774,Simple pass,259478153,44,51,36.0,37.0
8,Simple pass,['Accurate'],Jo\u00e3o M\u00e1rio Naval da Costa Eduardo ,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,6.19097899999997,Simple pass,259478155,36,37,28.0,30.0
8,Simple pass,['Accurate'],Jos\u00e9 Miguel da Rocha Fonte,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,10.563587999999982,Simple pass,259478157,28,30,33.0,46.0
8,Simple pass,['Accurate'],William Silva de Carvalho,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,12.758111000000099,Simple pass,259478158,33,46,39.0,77.0
8,High pass,['Not accurate'],C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,17.815689999999904,High pass,259478160,39,77,75.0,71.0
8,Simple pass,"['Interception', 'Not accurate']",Manuel Marouan da Costa Trinidade,"Portugal - Morocco, 1 - 0",Pass,Morocco,2H,18.955101000000013,Simple pass,259478185,25,29,10.0,17.0
8,Simple pass,['Accurate'],Cristiano Ronaldo dos Santos Aveiro,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,24.395281000000068,Simple pass,259478161,90,83,74.0,91.0
8,Simple pass,['Accurate'],Bernardo Mota Veiga de Carvalho e Silva,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,27.26569299999983,Simple pass,259478162,74,91,74.0,77.0
8,Simple pass,['Not accurate'],C\u00e9dric Ricardo Alves Soares,"Portugal - Morocco, 1 - 0",Pass,Portugal,2H,28.357448000000204,Simple pass,259478164,74,77,84.0,94.0
6,,[],Cristiano Ronaldo dos Santos Aveiro,"Portugal - Morocco, 1 - 0",Offside,Portugal,2H,29.874049999999897,N/A,259478165,84,94,0.0,0.0
3,Free Kick,['Accurate'],Munir Mohand Mohamedi,"Portugal - Morocco, 1 - 0",Free Kick,Morocco,2H,51.393857000000025,Free Kick,259478190,13,10,67.0,49.0
1,Air duel,"['Lost', 'Not accurate']",Khalid Bouta\u00efb,"Portugal - Morocco, 1 - 0",Duel,Morocco,2H,54.723485999999866,Air duel,259478191,67,49,60.0,37.0
1,Air duel,"['Won', 'Accurate']",Jos\u00e9 Miguel da Rocha Fonte,"Portugal - Morocco, 1 - 0",Duel,Portugal,2H,55.228161999999884,Air duel,259478166,33,51,40.0,63.0
